0.56364,0.17273,0.66364,0.76364,0.71818,6.899
0.3,0.74545,0.11818,0.83636,0.81818,1.9697
0.52727,0.74545,0.75455,0.24545,0.33636,8.1919
0.99091,0.50909,0.43636,0.41818,0.92727,2.0505
0.76364,0.40909,0.58182,0.22727,0.14545,5.7677
0.39091,0.6,0.51818,0.44545,0.85455,7.3838
0.96364,0.73636,0.23636,0.46364,0.19091,6.8182
0.94545,0.38182,0.55455,0.39091,0.89091,4.2323
0.49091,0.99091,0.73636,0.13636,0.79091,6.0101
0.82727,0.92727,0.38182,0.48182,0.33636,8.9192
0.38182,0.48182,0.17273,0.92727,0.48182,7.303
0.64545,0.63636,0.86364,0.80909,0.80909,2.2929
0.16364,0.63636,0.51818,0.19091,0.91818,4.4747
0.45455,0.57273,0.8,0.96364,0.61818,2.7778
0.29091,0.5,0.67273,0.4,0.24545,7.2222
0.63636,0.61818,0.15455,0.42727,0.66364,7.6263
0.64545,0.75455,0.15455,0.3,0.75455,8.8384
0.11818,0.50909,0.34545,0.63636,0.3,3.4242
0.77273,0.96364,0.32727,0.31818,0.24545,7.1414
0.4,0.8,0.47273,0.34545,0.87273,3.2626
0.56364,0.49091,0.39091,0.62727,0.53636,7.303
0.48182,0.13636,0.88182,0.92727,0.17273,1.6465
0.92727,1,0.40909,0.71818,0.70909,1
0.1,0.3,0.45455,0.51818,0.88182,5.4444
0.72727,0.68182,0.45455,0.52727,0.1,6.1717
0.31818,0.99091,0.52727,0.7,0.85455,7.1414
0.45455,0.85455,0.53636,0.84545,0.19091,4.4747
0.17273,0.6,0.70909,0.30909,0.36364,3.8283
0.12727,0.83636,0.9,0.22727,0.77273,6.4141
0.91818,0.27273,0.56364,0.31818,0.43636,1.1616
0.50909,0.84545,0.52727,0.8,0.96364,8.7576
0.26364,0.47273,0.88182,0.12727,0.39091,5.6061
0.90909,0.97273,1,0.53636,0.93636,4.9596
0.26364,0.13636,0.45455,0.18182,0.95455,8.4343
0.2,0.94545,0.89091,0.37273,0.94545,6.4949
0.33636,0.66364,0.76364,0.35455,0.73636,6.3333
0.46364,0.74545,0.24545,0.57273,0.57273,4.4747
0.3,0.31818,0.71818,0.20909,0.26364,3.6667
0.77273,0.23636,0.53636,0.41818,0.46364,7.4646
0.10909,0.30909,0.3,0.11818,0.95455,2.8586
0.68182,0.98182,0.36364,1,0.21818,7.8687
0.14545,0.65455,0.77273,0.77273,0.18182,3.7475
0.40909,0.92727,0.60909,0.67273,0.74545,1.2424
0.14545,0.43636,0.33636,0.53636,0.77273,8.6768
0.68182,0.73636,0.3,0.46364,0.64545,1.4848
0.26364,0.53636,0.72727,0.98182,0.98182,6.4141
0.41818,0.38182,0.43636,0.37273,0.90909,4.3131
0.28182,0.52727,0.68182,0.46364,0.1,4.8788
0.73636,0.82727,0.28182,0.80909,0.58182,2.1313
0.90909,0.27273,0.62727,0.9,0.68182,2.4545
0.34545,0.4,0.37273,0.89091,0.64545,6.2525
0.63636,0.56364,0.93636,0.82727,0.23636,7.4646
0.41818,0.38182,0.55455,0.83636,0.59091,4.3939
0.59091,0.9,0.34545,0.30909,0.49091,7.7071
0.89091,0.45455,0.29091,0.16364,0.50909,7.0606
0.78182,0.75455,0.5,0.95455,0.4,2.6162
0.52727,0.25455,0.35455,0.9,0.91818,2.8586
0.11818,0.49091,0.59091,0.94545,0.17273,1.404
0.61818,0.79091,0.98182,0.79091,0.70909,1.3232
0.96364,0.7,0.72727,0.45455,0.53636,4.6364
0.69091,0.26364,0.7,0.44545,0.11818,7.3838
0.27273,0.55455,0.51818,0.96364,0.21818,6.9798
0.41818,0.12727,0.95455,0.22727,0.28182,3.101
0.71818,0.93636,0.64545,0.29091,0.12727,2.5354
0.70909,0.46364,0.97273,0.1,0.77273,6.6566
0.23636,0.13636,0.67273,0.26364,0.52727,3.3434
